date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2019-08-05,2019,8,5,3,0,0,0.0,1.65,0.397,-0.06,0.079,0.756,0.378,-1.134,-3.137,0.756,-1.134,0.378,-4.158,1.145,-0.445,-0.701,-0.873,0.873,0.218,-1.091,-1.157
2019-08-06,2019,8,6,3,0,0,0.0,1.75,0.229,-0.05,0.087,-1.091,0.873,0.218,-2.4,0.577,0.577,-1.155,0.231,-0.747,1.136,-0.389,-0.635,-1.152,0.645,0.507,0.23
2019-08-07,2019,8,7,3,0,0,11.765,1.55,0.377,-0.3,0.52,-0.927,-0.132,1.06,0.662,-1.155,0.577,0.577,0.289,-0.641,-0.512,1.152,-0.195,0.152,-1.067,0.915,0.762
2019-08-08,2019,8,8,3,0,0,15.686,1.3,0.173,-0.7,0.624,-0.577,-0.577,1.155,3.753,-0.801,-0.32,1.121,1.121,1.153,-0.631,-0.522,0.881,0.577,0.577,-1.155,1.66
2019-08-09,2019,8,9,3,0,0,-17.647,1.59,0.675,-0.265,1.368,1.155,-0.577,-0.577,-0.133,1.148,-0.684,-0.464,0.194,-0.108,1.05,-0.941,-0.82,-1.155,0.577,0.577,-7.573
2019-08-12,2019,8,12,3,0,0,13.828,1.74,0.59,-0.31,1.401,-0.152,1.067,-0.915,-0.915,-0.517,1.153,-0.635,-0.421,-0.812,-0.305,1.117,-1.327,-0.193,-0.889,1.083,1.083
2019-08-13,2019,8,13,3,0,0,14.286,1.785,0.531,-0.26,1.355,-0.848,-0.254,1.103,-1.103,-0.583,-0.572,1.155,-0.694,-0.978,-0.043,1.021,3.997,-0.873,1.091,-0.218,3.491
2019-08-14,2019,8,14,3,0,0,-1.458,1.53,0.17,-0.66,0.663,0.44,-1.145,0.704,4.931,1.155,-0.589,-0.566,2.966,-0.602,-0.552,1.154,3.093,-1.017,0.035,0.982,0.351
2019-08-15,2019,8,15,3,0,0,0.0,0.98,0.859,-0.315,0.639,-1.14,0.727,0.413,0.78,0.493,0.658,-1.151,-1.127,-1.149,0.476,0.673,7.355,-0.577,-0.577,1.155,2.714
2019-08-16,2019,8,16,3,0,0,0.0,0.535,0.927,0.035,0.061,-0.577,-0.577,1.155,0.863,-0.577,-0.577,1.155,-17.898,-0.82,-0.294,1.114,1.285,0.0,0.0,0.0,150.0
2019-08-19,2019,8,19,3,0,0,-24.352,0.47,0.814,0.47,0.814,1.155,-0.577,-0.577,1.394,1.155,-0.577,-0.577,-0.448,1.154,-0.602,-0.552,-0.42,-1.155,0.577,0.577,0.577
2019-08-20,2019,8,20,3,0,0,0.0,0.47,0.814,0.47,0.814,-0.577,1.155,-0.577,-0.577,-0.577,1.155,-0.577,-0.577,-0.513,1.152,-0.639,-0.589,0.646,-1.152,0.505,0.505
2019-08-21,2019,8,21,3,0,0,-3.797,0.595,0.73,0.545,0.758,-0.301,-0.815,1.116,-0.815,-0.422,-0.719,1.142,-0.719,-0.218,-0.873,1.091,-1.022,-0.496,1.151,-0.655,1.009
2019-08-22,2019,8,22,3,0,0,16.071,0.565,0.68,-0.285,0.698,1.11,-0.279,-0.831,1.242,-1.14,0.731,0.409,2.43,-0.447,1.146,-0.698,4.834,0.093,-1.043,0.95,-1.236
2019-08-23,2019,8,23,3,0,0,-12.564,0.855,0.473,-0.04,0.936,0.032,0.984,-1.015,-1.809,0.828,-1.111,0.283,0.043,0.876,-1.09,0.214,-1.295,-0.653,1.151,-0.498,2.396
2019-08-26,2019,8,26,3,0,0,5.467,0.975,0.306,-0.235,0.914,-0.784,-0.343,1.126,-1.959,-0.137,1.061,-0.925,0.503,0.855,0.245,-1.1,-0.208,0.427,-1.143,0.715,-0.982
2019-08-27,2019,8,27,3,0,0,-12.821,0.91,0.198,0.375,0.637,1.086,-0.884,-0.202,2.07,0.589,-1.155,0.566,-2.286,-1.109,0.833,0.276,-0.952,-0.577,1.155,-0.577,1.473
2019-08-28,2019,8,28,3,0,0,0.0,0.62,0.571,0.13,0.566,-1.085,0.884,0.201,0.438,-0.23,1.095,-0.865,1.068,-0.655,-0.496,1.151,0.678,-0.577,-0.577,1.155,-0.577
2019-08-29,2019,8,29,3,0,0,17.333,0.765,0.663,-0.14,0.968,0.611,-1.154,0.543,-0.045,-1.064,0.145,0.92,-0.227,1.121,-0.801,-0.319,4.699,1.155,-0.577,-0.577,0.837
2019-08-30,2019,8,30,3,0,0,0.0,0.39,0.675,-0.39,0.675,-0.577,1.155,-0.577,1.088,0.577,-1.155,0.577,1.688,-0.43,1.143,-0.713,-0.248,-0.548,1.154,-0.606,-0.606
2019-09-03,2019,9,3,3,0,0,-25.806,0.79,0.684,0.01,1.185,0.599,-1.154,0.555,-1.154,1.004,-0.008,-0.996,-0.008,-0.179,-0.898,1.077,-1.254,-1.052,0.114,0.938,0.085
2019-09-04,2019,9,4,3,0,0,0.0,1.025,0.95,0.4,0.693,0.895,0.184,-1.079,0.153,-0.577,1.155,-0.577,-2.266,1.131,-0.362,-0.769,0.348,-0.016,-0.992,1.008,2.423
2019-09-05,2019,9,5,3,0,0,5.495,1.295,0.539,0.275,0.823,-0.9,1.076,-0.176,-2.403,-0.79,-0.334,1.124,-0.334,1.119,-0.314,-0.805,-0.939,1.113,-0.289,-0.823,0.272
